製程代碼,製程名稱,機台群組代碼,機台群組名稱,機台代碼,機台名稱
L370-01,裁斷拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-02,穴拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-03,斷線拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-04,龜裂拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-05,整平打拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-06,折曲打拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-07,外形拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A1,SBS UV 雷鑽機-01
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A2,SBS UV 雷鑽機-02
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A3,SBS UV 雷鑽機-03
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A4,SBS UV 雷鑽機-04
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A5,SBS UV 雷鑽機-05
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A6,SBS UV 雷鑽機-06
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A7,SBS UV 雷鑽機-07
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A8,SBS UV 雷鑽機-08
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A9,SBS UV 雷鑽機-09
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AA,SBS UV 雷鑽機-10
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AC,SBS UV 雷鑽機-12
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AD,SBS UV 雷鑽機-13
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AE,SBS UV 雷鑽機-14
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AF,SBS UV 雷鑽機-15
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AG,SBS UV 雷鑽機-16
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AH,SBS UV 雷鑽機-17
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AI,SBS UV 雷鑽機-18
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AJ,SBS UV 雷鑽機-19
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AK,SBS UV 雷鑽機-20
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AL,SBS UV 雷鑽機-21
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AM,SBS UV 雷鑽機-22
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AN,SBS UV 雷鑽機-23
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AO,SBS UV 雷鑽機-24
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AP,SBS UV 雷鑽機-25
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AQ,SBS UV 雷鑽機-26
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AR,SBS UV 雷鑽機-27
L205-03,雷射切割,M-L205A,UV 鐳射,L205A1,SBS UV 雷鑽機-01
L205-03,雷射切割,M-L205A,UV 鐳射,L205A2,SBS UV 雷鑽機-02
L205-03,雷射切割,M-L205A,UV 鐳射,L205A3,SBS UV 雷鑽機-03
L205-03,雷射切割,M-L205A,UV 鐳射,L205A4,SBS UV 雷鑽機-04
L205-03,雷射切割,M-L205A,UV 鐳射,L205A5,SBS UV 雷鑽機-05
L205-03,雷射切割,M-L205A,UV 鐳射,L205A6,SBS UV 雷鑽機-06
L205-03,雷射切割,M-L205A,UV 鐳射,L205A7,SBS UV 雷鑽機-07
L205-03,雷射切割,M-L205A,UV 鐳射,L205A8,SBS UV 雷鑽機-08
L205-03,雷射切割,M-L205A,UV 鐳射,L205A9,SBS UV 雷鑽機-09
L205-03,雷射切割,M-L205A,UV 鐳射,L205AA,SBS UV 雷鑽機-10
L205-03,雷射切割,M-L205A,UV 鐳射,L205AC,SBS UV 雷鑽機-12
L205-03,雷射切割,M-L205A,UV 鐳射,L205AD,SBS UV 雷鑽機-13
L205-03,雷射切割,M-L205A,UV 鐳射,L205AE,SBS UV 雷鑽機-14
L205-03,雷射切割,M-L205A,UV 鐳射,L205AF,SBS UV 雷鑽機-15
L205-03,雷射切割,M-L205A,UV 鐳射,L205AG,SBS UV 雷鑽機-16
L205-03,雷射切割,M-L205A,UV 鐳射,L205AH,SBS UV 雷鑽機-17
L205-03,雷射切割,M-L205A,UV 鐳射,L205AI,SBS UV 雷鑽機-18
L205-03,雷射切割,M-L205A,UV 鐳射,L205AJ,SBS UV 雷鑽機-19
L205-03,雷射切割,M-L205A,UV 鐳射,L205AK,SBS UV 雷鑽機-20
L205-03,雷射切割,M-L205A,UV 鐳射,L205AL,SBS UV 雷鑽機-21
L205-03,雷射切割,M-L205A,UV 鐳射,L205AM,SBS UV 雷鑽機-22
L205-03,雷射切割,M-L205A,UV 鐳射,L205AN,SBS UV 雷鑽機-23
L205-03,雷射切割,M-L205A,UV 鐳射,L205AO,SBS UV 雷鑽機-24
L205-03,雷射切割,M-L205A,UV 鐳射,L205AP,SBS UV 雷鑽機-25
L205-03,雷射切割,M-L205A,UV 鐳射,L205AQ,SBS UV 雷鑽機-26
L205-03,雷射切割,M-L205A,UV 鐳射,L205AR,SBS UV 雷鑽機-27
L210-03,黑孔/黑影,M-L21A,黑孔,L21A08,SBS 黑影線-02-Ａ
L210-03,黑孔/黑影,M-L21A,黑孔,L21A09,SBS 黑影線-02-Ｂ
L210-03,黑孔/黑影,M-L21A,黑孔,L21A10,SBS 黑影線-03-Ａ
L210-03,黑孔/黑影,M-L21A,黑孔,L21A11,SBS 黑影線-03-Ｂ
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B03,SBS 硫酸銅線-01
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B04,SBS 硫酸銅線-02
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B05,SBS 硫酸銅線-03
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B06,SBS 硫酸銅線-04
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B07,SBS 硫酸銅線-05
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B08,SBS 硫酸銅線-06
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B03,SBS 硫酸銅線-01
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B04,SBS 硫酸銅線-02
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B05,SBS 硫酸銅線-03
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B06,SBS 硫酸銅線-04
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B07,SBS 硫酸銅線-05
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B08,SBS 硫酸銅線-06
L210-11,壓膜前處理,M-L27B,SBS LVI 前處理,L27B03,SBS LVI 前處理線-02-Ａ
L210-11,壓膜前處理,M-L27B,SBS LVI 前處理,L27B04,SBS LVI 前處理線-02-B
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D01,SBS 盲孔檢查機-01
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D02,SBS 盲孔檢查機-02
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D03,SBS 盲孔檢查機-03
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D04,SBS 盲孔檢查機-04
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D05,SBS 盲孔檢查機-05
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D06,SBS 盲孔檢查機-06
L210-13,鐳射盲孔檢測,M-L21E,LVI  檢修,L21E04,SBS 盲孔複檢機-01
L210-13,鐳射盲孔檢測,M-L21E,LVI  檢修,L21E05,SBS 盲孔複檢機-02
L210-13,鐳射盲孔檢測,M-L21P,雙面LVI 檢測,L21P01,SBS 雙面盲孔檢查機-01
L210-13,鐳射盲孔檢測,M-R27B,RTR LVI 盲孔檢查機,R27B01,RTR 盲孔檢查機-01
L210-13,鐳射盲孔檢測,M-R27B,RTR LVI 盲孔檢查機,R27B02,RTR 盲孔檢查機-02
L210-13,鐳射盲孔檢測,M-R27B,RTR LVI 盲孔檢查機,R27B03,RTR 盲孔檢查機-03
L210-13,鐳射盲孔檢測,M-R27B,RTR LVI 盲孔檢查機,R27B04,RTR 盲孔檢查機-04
L210-14,鐳射盲孔檢修,M-L21E,LVI  檢修,L21E06,SBS 盲孔複檢機-03
L210-32,鍍銅後水洗,M-L21J,鍍銅後水洗,L21J01,SBS 鍍銅後水洗線-01
L210-32,鍍銅後水洗,M-L21J,鍍銅後水洗,L21J02,SBS 鍍銅後水洗線-02-A
L210-32,鍍銅後水洗,M-L21J,鍍銅後水洗,L21J03,SBS 鍍銅後水洗線-02-B
L210-33,盲孔電鍍,M-L21B,硫酸銅,L21B08,SBS 硫酸銅線-06
L210-34,雙面雷射盲孔檢測,M-L21P,雙面LVI 檢測,L21P01,SBS 雙面盲孔檢查機-01
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A1,SBS UV 雷鑽機-01
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A2,SBS UV 雷鑽機-02
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A3,SBS UV 雷鑽機-03
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A4,SBS UV 雷鑽機-04
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A5,SBS UV 雷鑽機-05
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A6,SBS UV 雷鑽機-06
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A7,SBS UV 雷鑽機-07
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A8,SBS UV 雷鑽機-08
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A9,SBS UV 雷鑽機-09
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AA,SBS UV 雷鑽機-10
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AC,SBS UV 雷鑽機-12
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AD,SBS UV 雷鑽機-13
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AE,SBS UV 雷鑽機-14
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AF,SBS UV 雷鑽機-15
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AG,SBS UV 雷鑽機-16
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AH,SBS UV 雷鑽機-17
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AI,SBS UV 雷鑽機-18
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AJ,SBS UV 雷鑽機-19
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AK,SBS UV 雷鑽機-20
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AL,SBS UV 雷鑽機-21
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AM,SBS UV 雷鑽機-22
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AN,SBS UV 雷鑽機-23
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AO,SBS UV 雷鑽機-24
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AP,SBS UV 雷鑽機-25
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AQ,SBS UV 雷鑽機-26
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205AR,SBS UV 雷鑽機-27
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205A1,SBS UV 雷鑽機-01
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205A2,SBS UV 雷鑽機-02
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205A3,SBS UV 雷鑽機-03
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205A4,SBS UV 雷鑽機-04
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205A5,SBS UV 雷鑽機-05
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205A6,SBS UV 雷鑽機-06
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205A7,SBS UV 雷鑽機-07
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205A8,SBS UV 雷鑽機-08
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205A9,SBS UV 雷鑽機-09
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AA,SBS UV 雷鑽機-10
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AC,SBS UV 雷鑽機-12
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AD,SBS UV 雷鑽機-13
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AE,SBS UV 雷鑽機-14
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AF,SBS UV 雷鑽機-15
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AG,SBS UV 雷鑽機-16
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AH,SBS UV 雷鑽機-17
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AI,SBS UV 雷鑽機-18
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AJ,SBS UV 雷鑽機-19
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AK,SBS UV 雷鑽機-20
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AL,SBS UV 雷鑽機-21
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AM,SBS UV 雷鑽機-22
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AN,SBS UV 雷鑽機-23
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AO,SBS UV 雷鑽機-24
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AP,SBS UV 雷鑽機-25
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AQ,SBS UV 雷鑽機-26
L370-10,鐳射(揭蓋),M-L205A,UV 鐳射,L205AR,SBS UV 雷鑽機-27
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A01,RTR UV 雷鑽機-01
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A02,RTR UV 雷鑽機-02
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A03,RTR UV 雷鑽機-03
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A04,RTR UV 雷鑽機-04
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A05,RTR UV 雷鑽機-05
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A06,RTR UV 雷鑽機-06
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A07,RTR UV 雷鑽機-07
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A08,RTR UV 雷鑽機-08
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A11,RTR UV 雷鑽機-11
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A12,RTR UV 雷鑽機-12
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A13,RTR UV 雷鑽機-13
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A14,RTR UV 雷鑽機-14
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A15,RTR UV 雷鑽機-15
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A16,RTR UV 雷鑽機-16
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A17,RTR UV 雷鑽機-17
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A18,RTR UV 雷鑽機-18
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A19,RTR UV 雷鑽機-19
R205-01,RTR UV鐳射,M-R20A,RTR 雷鑽機,R20A20,RTR UV 雷鑽機-20
R205-01,RTR UV鐳射,M-R20B,RTR PID 雷射雕刻機,R20B01,RTR 雷射雕刻機-01
R205-03,RTR PID打碼,M-R20B,RTR PID 雷射雕刻機,R20B01,RTR 雷射雕刻機-01
R205-04,RTR 雷鑽膜壓膜,M-R20C,RTR 雷鑽壓膜機,R20C01,RTR 鐳鑽壓膜機-01
R205-05,RTR 雷鑽膜撕膜,M-R20D,RTR 雷鑽膜撕膜,R20D17,RTR 雷鑽搭載撕膜機-17
R205-05,RTR 雷鑽膜撕膜,M-R20D,RTR 雷鑽膜撕膜,R20D18,RTR 雷鑽搭載撕膜機-18
R205-05,RTR 雷鑽膜撕膜,M-R20D,RTR 雷鑽膜撕膜,R20D19,RTR 雷鑽搭載撕膜機-19
R205-05,RTR 雷鑽膜撕膜,M-R20D,RTR 雷鑽膜撕膜,R20D20,RTR 雷鑽搭載撕膜機-20
R205-05,RTR 雷鑽膜撕膜,M-R20D,RTR 雷鑽膜撕膜,R20D01,RTR 鐳鑽撕膜機-01
R211-01,RTR LVI 前處理,M-R21A,RTR LVI 前處理線,R21A01,RTR LVI 前處理線-01-Ａ
R211-01,RTR LVI 前處理,M-R21A,RTR LVI 前處理線,R21A02,RTR LVI 前處理線-01-Ｂ
R212-01,RTR VCP鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B01,RTR 硫酸銅線-01-Ａ
R212-01,RTR VCP鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B02,RTR 硫酸銅線-01-Ｂ
R212-01,RTR VCP鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B03,RTR 硫酸銅線-02-Ａ
R212-01,RTR VCP鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B04,RTR 硫酸銅線-02- B
R212-04,RTR VCP全面鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B01,RTR 硫酸銅線-01-Ａ
R212-04,RTR VCP全面鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B02,RTR 硫酸銅線-01-Ｂ
R212-04,RTR VCP全面鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B03,RTR 硫酸銅線-02-Ａ
R212-04,RTR VCP全面鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B04,RTR 硫酸銅線-02- B
R212-05,RTR VCP局部鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B01,RTR 硫酸銅線-01-Ａ
R212-05,RTR VCP局部鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B02,RTR 硫酸銅線-01-Ｂ
R212-05,RTR VCP局部鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B03,RTR 硫酸銅線-02-Ａ
R212-05,RTR VCP局部鍍銅,M-R21B,RTR 垂直夾點式 VCP 線,R21B04,RTR 硫酸銅線-02- B
R213-02,RTR 黑影,M-R21C,RTR 黑影線,R21C01,RTR 黑影線-01-Ａ
R213-02,RTR 黑影,M-R21C,RTR 黑影線,R21C02,RTR 黑影線-01-Ｂ
R271-02,RTR 盲檢 AOI,M-R27B,RTR LVI 盲孔檢查機,R27B01,RTR 盲孔檢查機-01
R271-02,RTR 盲檢 AOI,M-R27B,RTR LVI 盲孔檢查機,R27B02,RTR 盲孔檢查機-02
R271-02,RTR 盲檢 AOI,M-R27B,RTR LVI 盲孔檢查機,R27B03,RTR 盲孔檢查機-03
R271-02,RTR 盲檢 AOI,M-R27B,RTR LVI 盲孔檢查機,R27B04,RTR 盲孔檢查機-04
R271-02,RTR 盲檢 AOI,M-R27F,RTR LVI 盲檢+複檢機,R27F01,RTR LVI 盲檢+複檢機-01
R271-03,RTR LVI 盲孔+複檢機,M-R27F,RTR LVI 盲檢+複檢機,R27F01,RTR LVI 盲檢+複檢機-01
L110-01,PPG沖孔,M-L11A2,PPG,L11A21,RTR PPG 打拔機-01
L110-02,高壓水洗,M-L11A3,高壓水洗,L11A32,RTR 高壓水洗線-01
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A08,RTR 乾膜壓合機-08
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A09,乾膜壓合機-09
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A10,乾膜壓合機-10
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A11,乾膜壓合機-11
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A12,乾膜壓合機-12
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A13,乾膜壓合機-13
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A14,乾膜壓合機-14
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A17,乾膜壓合機-17
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A18,乾膜壓合機-18
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A19,乾膜壓合機-19
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A20,乾膜壓合機-20
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A21,乾膜壓合機-21
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A22,乾膜壓合機-22
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A23,乾膜壓合機-23
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A24,乾膜壓合機-24
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A25,乾膜壓合機-25
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A26,乾膜壓合機-26
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A27,SBS 乾膜壓合機-27
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A28,SBS 乾膜壓合機-28
L110-03,單面乾膜壓合,M-L22A,雙面乾膜,L22A29,SBS 乾膜壓合機-29
L110-03,單面乾膜壓合,M-R22A,RTR 乾膜壓合機,R22A02,RTR 乾膜壓合機-02
L110-03,單面乾膜壓合,M-R22A,RTR 乾膜壓合機,R22A03,RTR 乾膜壓合機-03
L110-03,單面乾膜壓合,M-R22A,RTR 乾膜壓合機,R22A04,RTR 乾膜壓合機-04
L110-03,單面乾膜壓合,M-R22A,RTR 乾膜壓合機,R22A05,RTR 乾膜壓合機-05
L110-04,單面露光,M-L22B,雙面露光,L11B15,RTR 平行露光機-05-Ａ
L110-04,單面露光,M-L22B,雙面露光,L11B16,RTR 平行露光機-05-Ｂ
L110-04,單面露光,M-L22B,雙面露光,L11B17,RTR 平行露光機-06-Ａ
L110-04,單面露光,M-L22B,雙面露光,L11B18,RTR 平行露光機-06-Ｂ
L110-04,單面露光,M-L22B,雙面露光,L11B19,RTR 平行露光機-07-Ａ
L110-04,單面露光,M-L22B,雙面露光,L11B20,RTR 平行露光機-07-Ｂ
L110-04,單面露光,M-L22B,雙面露光,L11B21,RTR 平行露光機-08-Ａ
L110-04,單面露光,M-L22B,雙面露光,L11B22,RTR 平行露光機-08-Ｂ
L110-04,單面露光,M-L22B,雙面露光,L11B23,RTR 平行露光機-09-Ａ
L110-04,單面露光,M-L22B,雙面露光,L11B24,RTR 平行露光機-09-Ｂ
L110-04,單面露光,M-L22B,雙面露光,L11B25,RTR 平行露光機-10-Ａ
L110-04,單面露光,M-L22B,雙面露光,L11B26,RTR 平行露光機-10-Ｂ
L110-04,單面露光,M-L22B,雙面露光,L11B27,RTR 平行露光機-11-Ａ
L110-04,單面露光,M-L22B,雙面露光,L11B28,RTR 平行露光機-11-Ｂ
L110-04,單面露光,M-R22G,RTR DI 露光機,R22G01,RTR DI 露光機-01
L110-04,單面露光,M-R22G,RTR DI 露光機,R22G02,RTR DI 露光機-02-A
L110-04,單面露光,M-R22G,RTR DI 露光機,R22G03,RTR DI 露光機-02-B
L110-06,CF壓合(單面露光),M-L11A0,連續 CARRIER FILM,L11A12,RTR 單面乾膜壓合機-02
L110-06,CF壓合(單面露光),M-L11A0,連續 CARRIER FILM,L11A13,RTR 單面乾膜壓合機-03
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A08,RTR 乾膜壓合機-08
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A09,乾膜壓合機-09
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A10,乾膜壓合機-10
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A11,乾膜壓合機-11
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A12,乾膜壓合機-12
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A13,乾膜壓合機-13
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A14,乾膜壓合機-14
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A17,乾膜壓合機-17
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A18,乾膜壓合機-18
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A19,乾膜壓合機-19
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A20,乾膜壓合機-20
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A21,乾膜壓合機-21
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A22,乾膜壓合機-22
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A23,乾膜壓合機-23
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A24,乾膜壓合機-24
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A25,乾膜壓合機-25
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A26,乾膜壓合機-26
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A27,SBS 乾膜壓合機-27
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A28,SBS 乾膜壓合機-28
L220-01,雙面乾膜壓合,M-L22A,雙面乾膜,L22A29,SBS 乾膜壓合機-29
L220-01,雙面乾膜壓合,M-R22A,RTR 乾膜壓合機,R22A02,RTR 乾膜壓合機-02
L220-01,雙面乾膜壓合,M-R22A,RTR 乾膜壓合機,R22A03,RTR 乾膜壓合機-03
L220-01,雙面乾膜壓合,M-R22A,RTR 乾膜壓合機,R22A04,RTR 乾膜壓合機-04
L220-01,雙面乾膜壓合,M-R22A,RTR 乾膜壓合機,R22A05,RTR 乾膜壓合機-05
L220-02,雙面露光,M-L22B,雙面露光,L11B15,RTR 平行露光機-05-Ａ
L220-02,雙面露光,M-L22B,雙面露光,L11B16,RTR 平行露光機-05-Ｂ
L220-02,雙面露光,M-L22B,雙面露光,L11B17,RTR 平行露光機-06-Ａ
L220-02,雙面露光,M-L22B,雙面露光,L11B18,RTR 平行露光機-06-Ｂ
L220-02,雙面露光,M-L22B,雙面露光,L11B19,RTR 平行露光機-07-Ａ
L220-02,雙面露光,M-L22B,雙面露光,L11B20,RTR 平行露光機-07-Ｂ
L220-02,雙面露光,M-L22B,雙面露光,L11B21,RTR 平行露光機-08-Ａ
L220-02,雙面露光,M-L22B,雙面露光,L11B22,RTR 平行露光機-08-Ｂ
L220-02,雙面露光,M-L22B,雙面露光,L11B23,RTR 平行露光機-09-Ａ
L220-02,雙面露光,M-L22B,雙面露光,L11B24,RTR 平行露光機-09-Ｂ
L220-02,雙面露光,M-L22B,雙面露光,L11B25,RTR 平行露光機-10-Ａ
L220-02,雙面露光,M-L22B,雙面露光,L11B26,RTR 平行露光機-10-Ｂ
L220-02,雙面露光,M-L22B,雙面露光,L11B27,RTR 平行露光機-11-Ａ
L220-02,雙面露光,M-L22B,雙面露光,L11B28,RTR 平行露光機-11-Ｂ
